id,Product Name,Description,Price,Advertiser,Validity
https://mgat.b-cdn.net/api/v1/offers/1797816/images/default/0/small.webp,Das Bierige Bier,"20×0,5-Liter-MEHRWEG-Flasche Nicht mit weiteren Rabatten oder Jokern kombinierbar.",14.8,INTERSPAR,10.04.2024 - 17.04.2024
https://mgat.b-cdn.net/api/v1/offers/1797490/images/default/0/small.webp,Das Bierige Bier,"0,5 Liter 20er-Kiste",14.8,SPAR,10.04.2024 - 17.04.2024
https://mgat.b-cdn.net/api/v1/offers/1792145/images/default/0/small.webp,Das Bierige Bier,"0,33 Liter",0.66,SPAR,03.04.2024 - 17.04.2024
https://mgat.b-cdn.net/api/v1/offers/1791411/images/default/0/small.webp,Das Bierige Bier,"0,33-Liter-EINWEG-Flasche",0.66,INTERSPAR,03.04.2024 - 17.04.2024
https://mgat.b-cdn.net/api/v1/offers/1797254/images/default/0/small.webp,Bier,"0,5 Liter",0.67,BILLA,10.04.2024 - 17.04.2024
https://mgat.b-cdn.net/api/v1/offers/1796978/images/default/0/small.webp,Bier,"0,5 Liter",0.67,BILLA PLUS,10.04.2024 - 17.04.2024
